clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1529575102,99056,49712,2,200,615,0.0100,0.0000,0.0300,1827,96.3223,0.0000,0.3344,0.0000,0.1839,0.0000,1.3046,1.8060,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1472,79680208896,7449640960,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449649152,68159361024,90.1471,79680208896,7449649152,68159361024,90.1471,79680208896,7449649152,7796580352,8371621888,1,0,0,0
1529575107,58248,515416,3,200,729,0.0000,0.0000,0.0300,1822,96.3886,0.0000,0.3675,0.0000,0.1838,0.0000,1.2703,1.8877,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449649152,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449661440,68159348736,90.1471,79680208896,7449661440,68159348736,90.1471,79680208896,7449661440,7796572160,8371621888,1,0,0,0
1529575112,99216,46720,5,200,586,0.0000,0.0000,0.0300,1626,96.3706,0.0000,0.2841,0.0000,0.1505,0.0000,1.2707,1.9388,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449673728,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449673728,68159328256,90.1471,79680208896,7449681920,68159328256,90.1471,79680208896,7449673728,7796613120,8371621888,1,0,0,0
1529575117,49136,42296,2,201,704,0.0000,0.0000,0.0300,1870,96.2907,0.0000,0.2841,0.0000,0.1505,0.0000,1.3041,1.9221,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449681920,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449681920,68159320064,90.1471,79680208896,7449690112,68159320064,90.1471,79680208896,7449690112,7796588544,8371621888,1,0,0,0
1529575122,99936,73472,2,201,661,0.0000,0.0000,0.0300,1465,96.2734,0.0000,0.2841,0.0000,0.1671,0.0000,1.3708,1.8717,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449690112,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449702400,68159307776,90.1471,79680208896,7449702400,68159307776,90.1471,79680208896,7449702400,7796486144,8371621888,1,0,0,0
1529575127,59760,590536,2,201,687,0.0000,0.0000,0.0300,1514,96.2252,0.0000,0.3007,0.0000,0.1671,0.0000,1.4197,1.8707,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449702400,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449710592,68159299584,90.1471,79680208896,7449710592,68159299584,90.1471,79680208896,7449710592,7796625408,8371621888,1,0,0,0
1529575132,104520,60672,2,201,618,0.0000,0.0000,0.0300,1809,96.1757,0.0000,0.3007,0.0000,0.1503,0.0000,1.4030,1.8540,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449718784,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449718784,68159283200,90.1470,79680208896,7449726976,68159291392,90.1470,79680208896,7449718784,7796514816,8371621888,1,0,0,0
1529575137,48960,65128,4,201,706,0.0000,0.0000,0.0300,1592,96.1763,0.0000,0.3840,0.0000,0.1503,0.0000,1.4195,1.8868,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449726976,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449735168,68159275008,90.1470,79680208896,7449735168,68159275008,90.1470,79680208896,7449735168,7796523008,8371621888,1,0,0,0
1529575142,101688,49200,2,201,641,0.0000,0.0000,0.0300,1843,96.1898,0.0000,0.3506,0.0000,0.1336,0.0000,1.3689,1.9700,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449747456,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449747456,68159254528,90.1470,79680208896,7449755648,68159262720,90.1470,79680208896,7449747456,7796416512,8371621888,1,0,0,0
1529575147,46312,494488,4,201,665,0.0000,0.0000,0.0300,1643,96.1410,0.0000,0.3844,0.0000,0.1337,0.0000,1.3202,1.9388,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449755648,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449755648,68159246336,90.1470,79680208896,7449763840,68159254528,90.1470,79680208896,7449755648,7796424704,8371621888,1,0,0,0
