clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1529575104,4294776,4047280,4,207,2772,0.0200,0.0200,0.0300,5929,94.8654,0.0000,0.3851,0.0000,1.1371,0.0000,1.4575,2.9131,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2512,79680208896,7370973184,408983552,87.2071,494512128,59996160,90.2515,79680208896,7370743808,68238114816,90.2513,79680208896,7370895360,68238188544,90.2514,79680208896,7370821632,7756533760,8371621888,1,0,0,0
1529575109,5094280,4870344,3,207,3266,0.0200,0.0200,0.0300,5653,93.1807,0.0000,0.3842,0.0000,1.7518,0.0000,1.7878,3.8584,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2507,79680208896,7371362304,408983552,87.2071,494512128,59996160,90.2510,79680208896,7371132928,68237725696,90.2508,79680208896,7371284480,68237803520,90.2509,79680208896,7371206656,7756627968,8371621888,1,0,0,0
1529575114,5118512,4388368,2,207,3211,0.0200,0.0200,0.0300,5957,91.3718,0.0000,0.3334,0.0000,2.3182,0.0000,2.0851,4.8016,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2502,79680208896,7371763712,408983552,87.2071,494512128,59996160,90.2505,79680208896,7371522048,68237332480,90.2503,79680208896,7371677696,68237410304,90.2504,79680208896,7371599872,7756120064,8371621888,1,0,0,0
1529575119,5070008,4381680,3,207,3216,0.0200,0.0200,0.0300,5691,89.6379,0.0000,0.3339,0.0000,2.8533,0.0000,2.3368,5.5593,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2496,79680208896,7372152832,408983552,87.2071,494512128,59996160,90.2499,79680208896,7371923456,68236935168,90.2497,79680208896,7372075008,68237008896,90.2498,79680208896,7371997184,7756382208,8371621888,1,0,0,0
1529575124,5118088,4414152,3,207,3223,0.0200,0.0200,0.0300,6247,88.0507,0.0000,0.3506,0.0167,3.4552,0.0000,2.7041,6.5119,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2491,79680208896,7372554240,408983552,87.2071,494512128,59996160,90.2494,79680208896,7372312576,68236529664,90.2492,79680208896,7372476416,68236619776,90.2493,79680208896,7372390400,7755874304,8371621888,1,0,0,0
1529575129,5130664,4998760,2,207,3152,0.1700,0.0200,0.0600,5528,86.4039,0.0000,0.3506,0.0167,4.0547,0.0000,3.0055,7.2287,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2487,79680208896,7372877824,408983552,87.2071,494512128,59996160,90.2490,79680208896,7372611584,68236210176,90.2488,79680208896,7372795904,68236304384,90.2489,79680208896,7372705792,7756136448,8371621888,1,0,0,0
1529575134,5116048,4383728,2,207,3270,0.2400,0.0300,0.0800,6002,84.4178,0.0000,0.3673,0.0167,4.5295,0.0000,3.3406,8.1149,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2481,79680208896,7373279232,408983552,87.2071,494512128,59996160,90.2485,79680208896,7373037568,68235821056,90.2483,79680208896,7373189120,68235894784,90.2484,79680208896,7373115392,7755239424,8371621888,1,0,0,0
1529575139,5073960,4421968,2,207,3219,0.2200,0.0400,0.0800,5650,82.8462,0.0000,0.3509,0.0167,5.1321,0.0000,3.6598,8.8722,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2476,79680208896,7373668352,408983552,87.2071,494512128,59996160,90.2479,79680208896,7373430784,68235415552,90.2477,79680208896,7373594624,68235493376,90.2478,79680208896,7373516800,7755395072,8371621888,1,0,0,0
1529575144,5127200,4395408,5,207,3195,0.2000,0.0400,0.0800,5878,81.1706,0.0000,0.4184,0.0167,5.5834,0.0000,3.8320,9.7908,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2471,79680208896,7374069760,408983552,87.2071,494512128,59996160,90.2474,79680208896,7373828096,68235034624,90.2472,79680208896,7373979648,68235104256,90.2473,79680208896,7373905920,7754887168,8371621888,1,0,0,0
1529575149,5106992,4867320,2,207,3233,0.1900,0.0400,0.0700,5760,79.4349,0.0000,0.4182,0.0167,6.1078,0.0000,4.0154,10.6892,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2466,79680208896,7374454784,408983552,87.2071,494512128,59996160,90.2469,79680208896,7374213120,68234633216,90.2467,79680208896,7374376960,68234706944,90.2468,79680208896,7374303232,7755026432,8371621888,1,0,0,0
