clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1529575102,6917664,9713280,2,204,5428,0.2100,0.0600,0.0900,7522,89.8052,0.0000,0.3014,0.0000,1.6776,0.0000,2.1266,3.8513,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933123072,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933123072,68675887104,90.8303,79680208896,6933123072,68675895296,90.8303,79680208896,6933114880,6637531136,8371621888,1,0,0,0
1529575107,15297856,20751160,3,204,5077,0.4300,0.0700,0.1400,9214,84.4171,0.0000,0.2520,0.0168,3.1119,0.0000,2.7209,6.8873,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933131264,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933139456,68675878912,90.8303,79680208896,6933131264,68675887104,90.8303,79680208896,6933123072,6635425792,8371621888,1,0,0,0
1529575112,16970232,22641464,5,204,5028,0.5600,0.1000,0.1700,9917,79.1131,0.0000,0.2700,0.0169,4.4147,0.0000,3.2046,10.2954,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933147648,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933147648,68675870720,90.8303,79680208896,6933139456,68675870720,90.8303,79680208896,6933139456,6634311680,8371621888,1,0,0,0
1529575117,18149664,24093536,2,204,5153,0.5900,0.1000,0.1900,9799,73.8213,0.0000,0.2547,0.0170,5.8043,0.0000,3.7973,13.5846,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933159936,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933172224,68675850240,90.8302,79680208896,6933159936,68675850240,90.8302,79680208896,6933159936,6633476096,8371621888,1,0,0,0
1529575122,19158000,24786032,2,204,5228,0.5400,0.1000,0.1800,10069,69.6291,0.0000,0.2387,0.0171,7.3150,0.0000,4.2249,16.9509,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933172224,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933184512,68675837952,90.8302,79680208896,6933172224,68675837952,90.8302,79680208896,6933172224,6632091648,8371621888,1,0,0,0
1529575127,19682536,26453320,3,204,5207,0.5000,0.1000,0.1800,9822,63.9184,0.0000,0.2394,0.0171,8.5572,0.0000,4.6341,19.4288,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933204992,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933221376,68675821568,90.8302,79680208896,6933188608,68675825664,90.8302,79680208896,6933184512,6631059456,8371621888,1,0,0,0
1529575132,23078456,26434992,2,204,5301,0.4600,0.1000,0.1800,9994,56.7814,0.0000,0.1887,0.0172,10.5055,0.0000,5.3507,23.1732,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8301,79680208896,6933258240,408983552,87.2071,494512128,59996160,90.8301,79680208896,6933274624,68675764224,90.8301,79680208896,6933245952,68675772416,90.8301,79680208896,6933237760,6629359616,8371621888,1,0,0,0
1529575137,24437720,27476880,4,203,5431,0.8200,0.1000,0.2600,10029,50.6736,0.0000,0.1724,0.0173,12.1850,0.0000,5.9614,27.9214,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8300,79680208896,6933323776,408983552,87.2071,494512128,59996160,90.8300,79680208896,6933348352,68675706880,90.8301,79680208896,6933303296,68675715072,90.8301,79680208896,6933295104,6628229120,8371621888,1,0,0,0
1529575142,25303872,26894640,2,203,5423,1.1600,0.1200,0.3300,9918,44.4733,0.0000,0.1730,0.0173,13.9740,0.0000,6.6021,31.5571,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8299,79680208896,6933389312,408983552,87.2071,494512128,59996160,90.8299,79680208896,6933409792,68675629056,90.8300,79680208896,6933381120,68675649536,90.8300,79680208896,6933360640,6627008512,8371621888,1,0,0,0
1529575147,25368992,28725944,3,203,5475,1.2300,0.1500,0.3600,9774,38.0423,0.0000,0.1560,0.0173,15.7612,0.0000,7.2592,35.5744,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8299,79680208896,6933446656,408983552,87.2071,494512128,59996160,90.8298,79680208896,6933475328,68675571712,90.8299,79680208896,6933438464,68675584000,90.8299,79680208896,6933426176,6626004992,8371621888,1,0,0,0
