clock,bono_net.if.in[ens160],bono_net.if.out[ens160],"bono_proc.num[,,run]",bono_proc.num[],bono_system.cpu.intr,"bono_system.cpu.load[percpu,avg1]","bono_system.cpu.load[percpu,avg15]","bono_system.cpu.load[percpu,avg5]",bono_system.cpu.switches,"bono_system.cpu.util[,idle]","bono_system.cpu.util[,interrupt]","bono_system.cpu.util[,iowait]","bono_system.cpu.util[,nice]","bono_system.cpu.util[,softirq]","bono_system.cpu.util[,steal]","bono_system.cpu.util[,system]","bono_system.cpu.util[,user]","bono_system.swap.size[,free]","bono_system.swap.size[,pfree]","bono_system.swap.size[,total]","bono_vfs.fs.inode[/,pfree]","bono_vfs.fs.inode[/boot,pfree]","bono_vfs.fs.inode[/var/lib/docker/aufs,pfree]","bono_vfs.fs.inode[/var/lib/kubelet,pfree]","bono_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/,pfree]","bono_vfs.fs.size[/,total]","bono_vfs.fs.size[/,used]","bono_vfs.fs.size[/boot,free]","bono_vfs.fs.size[/boot,pfree]","bono_vfs.fs.size[/boot,total]","bono_vfs.fs.size[/boot,used]","bono_vfs.fs.size[/var/lib/docker/aufs,pfree]","bono_vfs.fs.size[/var/lib/docker/aufs,total]","bono_vfs.fs.size[/var/lib/docker/aufs,used]","bono_vfs.fs.size[/var/lib/kubelet,free]","bono_vfs.fs.size[/var/lib/kubelet,pfree]","bono_vfs.fs.size[/var/lib/kubelet,total]","bono_vfs.fs.size[/var/lib/kubelet,used]","bono_vfs.fs.size[/var/lib/rancher/volumes,free]","bono_vfs.fs.size[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/var/lib/rancher/volumes,total]","bono_vfs.fs.size[/var/lib/rancher/volumes,used]",bono_vm.memory.size[available],bono_vm.memory.size[total],homestead_net.if.in[ens160],homestead_net.if.out[ens160],"homestead_proc.num[,,run]",homestead_proc.num[],homestead_system.cpu.intr,"homestead_system.cpu.load[percpu,avg1]","homestead_system.cpu.load[percpu,avg15]","homestead_system.cpu.load[percpu,avg5]",homestead_system.cpu.switches,"homestead_system.cpu.util[,idle]","homestead_system.cpu.util[,interrupt]","homestead_system.cpu.util[,iowait]","homestead_system.cpu.util[,nice]","homestead_system.cpu.util[,softirq]","homestead_system.cpu.util[,steal]","homestead_system.cpu.util[,system]","homestead_system.cpu.util[,user]","homestead_system.swap.size[,free]","homestead_system.swap.size[,pfree]","homestead_system.swap.size[,total]","homestead_vfs.fs.inode[/,pfree]","homestead_vfs.fs.inode[/boot,pfree]","homestead_vfs.fs.inode[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.inode[/var/lib/kubelet,pfree]","homestead_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/,pfree]","homestead_vfs.fs.size[/,total]","homestead_vfs.fs.size[/,used]","homestead_vfs.fs.size[/boot,free]","homestead_vfs.fs.size[/boot,pfree]","homestead_vfs.fs.size[/boot,total]","homestead_vfs.fs.size[/boot,used]","homestead_vfs.fs.size[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.size[/var/lib/docker/aufs,total]","homestead_vfs.fs.size[/var/lib/docker/aufs,used]","homestead_vfs.fs.size[/var/lib/kubelet,free]","homestead_vfs.fs.size[/var/lib/kubelet,pfree]","homestead_vfs.fs.size[/var/lib/kubelet,total]","homestead_vfs.fs.size[/var/lib/kubelet,used]","homestead_vfs.fs.size[/var/lib/rancher/volumes,free]","homestead_vfs.fs.size[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/var/lib/rancher/volumes,total]","homestead_vfs.fs.size[/var/lib/rancher/volumes,used]",homestead_vm.memory.size[available],homestead_vm.memory.size[total],sprout_net.if.in[ens160],sprout_net.if.out[ens160],"sprout_proc.num[,,run]",sprout_proc.num[],sprout_system.cpu.intr,"sprout_system.cpu.load[percpu,avg1]","sprout_system.cpu.load[percpu,avg15]","sprout_system.cpu.load[percpu,avg5]",sprout_system.cpu.switches,"sprout_system.cpu.util[,idle]","sprout_system.cpu.util[,interrupt]","sprout_system.cpu.util[,iowait]","sprout_system.cpu.util[,nice]","sprout_system.cpu.util[,softirq]","sprout_system.cpu.util[,steal]","sprout_system.cpu.util[,system]","sprout_system.cpu.util[,user]","sprout_system.swap.size[,free]","sprout_system.swap.size[,pfree]","sprout_system.swap.size[,total]","sprout_vfs.fs.inode[/,pfree]","sprout_vfs.fs.inode[/boot,pfree]","sprout_vfs.fs.inode[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.inode[/var/lib/kubelet,pfree]","sprout_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/,pfree]","sprout_vfs.fs.size[/,total]","sprout_vfs.fs.size[/,used]","sprout_vfs.fs.size[/boot,free]","sprout_vfs.fs.size[/boot,pfree]","sprout_vfs.fs.size[/boot,total]","sprout_vfs.fs.size[/boot,used]","sprout_vfs.fs.size[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.size[/var/lib/docker/aufs,total]","sprout_vfs.fs.size[/var/lib/docker/aufs,used]","sprout_vfs.fs.size[/var/lib/kubelet,free]","sprout_vfs.fs.size[/var/lib/kubelet,pfree]","sprout_vfs.fs.size[/var/lib/kubelet,total]","sprout_vfs.fs.size[/var/lib/kubelet,used]","sprout_vfs.fs.size[/var/lib/rancher/volumes,free]","sprout_vfs.fs.size[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/var/lib/rancher/volumes,total]","sprout_vfs.fs.size[/var/lib/rancher/volumes,used]",sprout_vm.memory.size[available],sprout_vm.memory.size[total],normal,bono_cpu,bono_mem,bono_io,homestead_cpu,homestead_mem,homestead_io,sprout_cpu,sprout_mem,sprout_io
1529575102,99056,49712,2,200,615,0.0100,0.0000,0.0300,1827,96.3223,0.0000,0.3344,0.0000,0.1839,0.0000,1.3046,1.8060,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1472,79680208896,7449640960,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449649152,68159361024,90.1471,79680208896,7449649152,68159361024,90.1471,79680208896,7449649152,7796580352,8371621888,4294776,4047280,4,207,2772,0.0200,0.0200,0.0300,5929,94.8654,0.0000,0.3851,0.0000,1.1371,0.0000,1.4575,2.9131,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2512,79680208896,7370973184,408983552,87.2071,494512128,59996160,90.2515,79680208896,7370743808,68238114816,90.2513,79680208896,7370895360,68238188544,90.2514,79680208896,7370821632,7756533760,8371621888,6917664,9713280,2,204,5428,0.2100,0.0600,0.0900,7522,89.8052,0.0000,0.3014,0.0000,1.6776,0.0000,2.1266,3.8513,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933123072,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933123072,68675887104,90.8303,79680208896,6933123072,68675895296,90.8303,79680208896,6933114880,6637531136,8371621888,1,0,0,0,0,0,0,0,0,0
1529575107,58248,515416,3,200,729,0.0000,0.0000,0.0300,1822,96.3886,0.0000,0.3675,0.0000,0.1838,0.0000,1.2703,1.8877,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449649152,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449661440,68159348736,90.1471,79680208896,7449661440,68159348736,90.1471,79680208896,7449661440,7796572160,8371621888,5094280,4870344,3,207,3266,0.0200,0.0200,0.0300,5653,93.1807,0.0000,0.3842,0.0000,1.7518,0.0000,1.7878,3.8584,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2507,79680208896,7371362304,408983552,87.2071,494512128,59996160,90.2510,79680208896,7371132928,68237725696,90.2508,79680208896,7371284480,68237803520,90.2509,79680208896,7371206656,7756627968,8371621888,15297856,20751160,3,204,5077,0.4300,0.0700,0.1400,9214,84.4171,0.0000,0.2520,0.0168,3.1119,0.0000,2.7209,6.8873,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933131264,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933139456,68675878912,90.8303,79680208896,6933131264,68675887104,90.8303,79680208896,6933123072,6635425792,8371621888,1,0,0,0,0,0,0,0,0,0
1529575112,99216,46720,5,200,586,0.0000,0.0000,0.0300,1626,96.3706,0.0000,0.2841,0.0000,0.1505,0.0000,1.2707,1.9388,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449673728,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449673728,68159328256,90.1471,79680208896,7449681920,68159328256,90.1471,79680208896,7449673728,7796613120,8371621888,5118512,4388368,2,207,3211,0.0200,0.0200,0.0300,5957,91.3718,0.0000,0.3334,0.0000,2.3182,0.0000,2.0851,4.8016,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2502,79680208896,7371763712,408983552,87.2071,494512128,59996160,90.2505,79680208896,7371522048,68237332480,90.2503,79680208896,7371677696,68237410304,90.2504,79680208896,7371599872,7756120064,8371621888,16970232,22641464,5,204,5028,0.5600,0.1000,0.1700,9917,79.1131,0.0000,0.2700,0.0169,4.4147,0.0000,3.2046,10.2954,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8303,79680208896,6933147648,408983552,87.2071,494512128,59996160,90.8303,79680208896,6933147648,68675870720,90.8303,79680208896,6933139456,68675870720,90.8303,79680208896,6933139456,6634311680,8371621888,1,0,0,0,0,0,0,0,0,0
1529575117,49136,42296,2,201,704,0.0000,0.0000,0.0300,1870,96.2907,0.0000,0.2841,0.0000,0.1505,0.0000,1.3041,1.9221,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449681920,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449681920,68159320064,90.1471,79680208896,7449690112,68159320064,90.1471,79680208896,7449690112,7796588544,8371621888,5070008,4381680,3,207,3216,0.0200,0.0200,0.0300,5691,89.6379,0.0000,0.3339,0.0000,2.8533,0.0000,2.3368,5.5593,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2496,79680208896,7372152832,408983552,87.2071,494512128,59996160,90.2499,79680208896,7371923456,68236935168,90.2497,79680208896,7372075008,68237008896,90.2498,79680208896,7371997184,7756382208,8371621888,18149664,24093536,2,204,5153,0.5900,0.1000,0.1900,9799,73.8213,0.0000,0.2547,0.0170,5.8043,0.0000,3.7973,13.5846,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933159936,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933172224,68675850240,90.8302,79680208896,6933159936,68675850240,90.8302,79680208896,6933159936,6633476096,8371621888,1,0,0,0,0,0,0,0,0,0
1529575122,99936,73472,2,201,661,0.0000,0.0000,0.0300,1465,96.2734,0.0000,0.2841,0.0000,0.1671,0.0000,1.3708,1.8717,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449690112,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449702400,68159307776,90.1471,79680208896,7449702400,68159307776,90.1471,79680208896,7449702400,7796486144,8371621888,5118088,4414152,3,207,3223,0.0200,0.0200,0.0300,6247,88.0507,0.0000,0.3506,0.0167,3.4552,0.0000,2.7041,6.5119,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2491,79680208896,7372554240,408983552,87.2071,494512128,59996160,90.2494,79680208896,7372312576,68236529664,90.2492,79680208896,7372476416,68236619776,90.2493,79680208896,7372390400,7755874304,8371621888,19158000,24786032,2,204,5228,0.5400,0.1000,0.1800,10069,69.6291,0.0000,0.2387,0.0171,7.3150,0.0000,4.2249,16.9509,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933172224,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933184512,68675837952,90.8302,79680208896,6933172224,68675837952,90.8302,79680208896,6933172224,6632091648,8371621888,1,0,0,0,0,0,0,0,0,0
1529575127,59760,590536,2,201,687,0.0000,0.0000,0.0300,1514,96.2252,0.0000,0.3007,0.0000,0.1671,0.0000,1.4197,1.8707,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1471,79680208896,7449702400,408983552,87.2071,494512128,59996160,90.1471,79680208896,7449710592,68159299584,90.1471,79680208896,7449710592,68159299584,90.1471,79680208896,7449710592,7796625408,8371621888,5130664,4998760,2,207,3152,0.1700,0.0200,0.0600,5528,86.4039,0.0000,0.3506,0.0167,4.0547,0.0000,3.0055,7.2287,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2487,79680208896,7372877824,408983552,87.2071,494512128,59996160,90.2490,79680208896,7372611584,68236210176,90.2488,79680208896,7372795904,68236304384,90.2489,79680208896,7372705792,7756136448,8371621888,19682536,26453320,3,204,5207,0.5000,0.1000,0.1800,9822,63.9184,0.0000,0.2394,0.0171,8.5572,0.0000,4.6341,19.4288,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8302,79680208896,6933204992,408983552,87.2071,494512128,59996160,90.8302,79680208896,6933221376,68675821568,90.8302,79680208896,6933188608,68675825664,90.8302,79680208896,6933184512,6631059456,8371621888,1,0,0,0,0,0,0,0,0,0
1529575132,104520,60672,2,201,618,0.0000,0.0000,0.0300,1809,96.1757,0.0000,0.3007,0.0000,0.1503,0.0000,1.4030,1.8540,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449718784,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449718784,68159283200,90.1470,79680208896,7449726976,68159291392,90.1470,79680208896,7449718784,7796514816,8371621888,5116048,4383728,2,207,3270,0.2400,0.0300,0.0800,6002,84.4178,0.0000,0.3673,0.0167,4.5295,0.0000,3.3406,8.1149,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2481,79680208896,7373279232,408983552,87.2071,494512128,59996160,90.2485,79680208896,7373037568,68235821056,90.2483,79680208896,7373189120,68235894784,90.2484,79680208896,7373115392,7755239424,8371621888,23078456,26434992,2,204,5301,0.4600,0.1000,0.1800,9994,56.7814,0.0000,0.1887,0.0172,10.5055,0.0000,5.3507,23.1732,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8301,79680208896,6933258240,408983552,87.2071,494512128,59996160,90.8301,79680208896,6933274624,68675764224,90.8301,79680208896,6933245952,68675772416,90.8301,79680208896,6933237760,6629359616,8371621888,1,0,0,0,0,0,0,0,0,0
1529575137,48960,65128,4,201,706,0.0000,0.0000,0.0300,1592,96.1763,0.0000,0.3840,0.0000,0.1503,0.0000,1.4195,1.8868,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449726976,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449735168,68159275008,90.1470,79680208896,7449735168,68159275008,90.1470,79680208896,7449735168,7796523008,8371621888,5073960,4421968,2,207,3219,0.2200,0.0400,0.0800,5650,82.8462,0.0000,0.3509,0.0167,5.1321,0.0000,3.6598,8.8722,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2476,79680208896,7373668352,408983552,87.2071,494512128,59996160,90.2479,79680208896,7373430784,68235415552,90.2477,79680208896,7373594624,68235493376,90.2478,79680208896,7373516800,7755395072,8371621888,24437720,27476880,4,203,5431,0.8200,0.1000,0.2600,10029,50.6736,0.0000,0.1724,0.0173,12.1850,0.0000,5.9614,27.9214,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8300,79680208896,6933323776,408983552,87.2071,494512128,59996160,90.8300,79680208896,6933348352,68675706880,90.8301,79680208896,6933303296,68675715072,90.8301,79680208896,6933295104,6628229120,8371621888,1,0,0,0,0,0,0,0,0,0
1529575142,101688,49200,2,201,641,0.0000,0.0000,0.0300,1843,96.1898,0.0000,0.3506,0.0000,0.1336,0.0000,1.3689,1.9700,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449747456,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449747456,68159254528,90.1470,79680208896,7449755648,68159262720,90.1470,79680208896,7449747456,7796416512,8371621888,5127200,4395408,5,207,3195,0.2000,0.0400,0.0800,5878,81.1706,0.0000,0.4184,0.0167,5.5834,0.0000,3.8320,9.7908,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2471,79680208896,7374069760,408983552,87.2071,494512128,59996160,90.2474,79680208896,7373828096,68235034624,90.2472,79680208896,7373979648,68235104256,90.2473,79680208896,7373905920,7754887168,8371621888,25303872,26894640,2,203,5423,1.1600,0.1200,0.3300,9918,44.4733,0.0000,0.1730,0.0173,13.9740,0.0000,6.6021,31.5571,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8299,79680208896,6933389312,408983552,87.2071,494512128,59996160,90.8299,79680208896,6933409792,68675629056,90.8300,79680208896,6933381120,68675649536,90.8300,79680208896,6933360640,6627008512,8371621888,1,0,0,0,0,0,0,0,0,0
1529575147,46312,494488,4,201,665,0.0000,0.0000,0.0300,1643,96.1410,0.0000,0.3844,0.0000,0.1337,0.0000,1.3202,1.9388,4172197888,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449755648,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449755648,68159246336,90.1470,79680208896,7449763840,68159254528,90.1470,79680208896,7449755648,7796424704,8371621888,5106992,4867320,2,207,3233,0.1900,0.0400,0.0700,5760,79.4349,0.0000,0.4182,0.0167,6.1078,0.0000,4.0154,10.6892,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2466,79680208896,7374454784,408983552,87.2071,494512128,59996160,90.2469,79680208896,7374213120,68234633216,90.2467,79680208896,7374376960,68234706944,90.2468,79680208896,7374303232,7755026432,8371621888,25368992,28725944,3,203,5475,1.2300,0.1500,0.3600,9774,38.0423,0.0000,0.1560,0.0173,15.7612,0.0000,7.2592,35.5744,4294963200,100.0000,4294963200,95.5582,99.7583,95.5582,95.5582,95.5582,90.8299,79680208896,6933446656,408983552,87.2071,494512128,59996160,90.8298,79680208896,6933475328,68675571712,90.8299,79680208896,6933438464,68675584000,90.8299,79680208896,6933426176,6626004992,8371621888,1,0,0,0,0,0,0,0,0,0
