timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime,normal,cpu,mem,io
1529575120,0,0,253246257372,4,79680208896,1396736,4718592,0,0,0,14274892,267.1767578125,0,84115456,88834048,88788992,79555514,1,0,0,0
1529575140,0,0,253325222202,2,79680208896,1396736,4718592,0,0,0,14278590,136.37120056152344,0,84115456,88924160,88879104,79575440,1,0,0,0
1529575160,0,0,253359693424,3,79680208896,1396736,4718592,0,0,0,14280433,165.4820556640625,0,84115456,88924160,88879104,79595579,0,0,0,1
1529575180,0,0,254074826287,29,79680208896,1396736,4718592,0,0,0,14285090,190.0725250244141,0,84115456,88834048,88788992,79615591,0,0,0,1
1529575200,0,0,254920123653,35,79680208896,1396736,4718592,0,0,0,14287950,119.6954345703125,0,84115456,88834048,88788992,79635574,0,0,0,1
1529575220,0,0,255554732938,35,79680208896,1400832,4722688,0,0,0,14290780,157.31361389160156,0,84115456,88838144,88793088,79655562,0,0,0,1
1529575240,0,0,256161977948,35,79680208896,1400832,4726784,0,0,0,14293333,147.17953491210938,0,84115456,88932352,88887296,79675550,0,0,0,1
1529575260,0,0,256967957576,33,79680208896,1400832,4726784,0,0,0,14296465,130.76060485839844,0,84115456,88932352,88887296,79695622,0,0,0,1
1529575280,0,0,257754384061,34,79680208896,1400832,4726784,0,0,0,14299583,135.0430908203125,0,84115456,88969216,88924160,79715605,0,0,0,1
1529575300,0,0,258110751933,34,79680208896,1400832,4726784,0,0,0,14302097,243.35227966308597,0,84549632,89296896,89251840,79735576,0,0,0,1
1529575320,0,0,258728924217,32,79680208896,1400832,4726784,0,0,0,14303710,85.48958587646484,0,84115456,88932352,88887296,79755648,0,0,0,1
1529575340,0,0,259595850250,32,79680208896,1400832,4726784,0,0,0,14308656,184.96669006347656,0,84115456,88842240,88797184,79775525,1,0,0,0
1529575360,0,0,259660242895,2,79680208896,1400832,4726784,0,0,0,14312323,162.1092529296875,0,84115456,88932352,88887296,79795552,1,0,0,0
1529575380,0,0,259691738025,2,79680208896,1400832,4726784,0,0,0,14314150,165.1508331298828,0,84115456,88842240,88797184,79815535,1,0,0,0
1529575400,0,0,259781156041,3,79680208896,1400832,4726784,0,0,0,14319364,204.4044952392578,0,84115456,88928256,88883200,79835559,1,0,0,0
1529575420,0,0,259841059708,3,79680208896,1400832,4726784,0,0,0,14322473,178.50941467285156,0,84115456,88932352,88887296,79855535,1,0,0,0
1529575440,0,0,259880530461,2,79680208896,1400832,4726784,0,0,0,14324038,94.884765625,0,84115456,88842240,88797184,79875514,1,0,0,0
1529575460,0,0,259941423492,3,79680208896,1400832,4726784,0,0,0,14327573,185.3402099609375,0,84115456,88842240,88797184,79895497,1,0,0,0
1529575480,0,0,259996926433,3,79680208896,1400832,4726784,0,0,0,14331242,237.5271453857422,0,84115456,88842240,88797184,79915462,1,0,0,0
1529575500,0,0,260098298285,2,79680208896,1400832,4730880,0,0,0,14336769,157.24908447265625,0,84115456,88846336,88801280,79935488,1,0,0,0
1529575520,0,0,260128595519,2,79680208896,1404928,4730880,0,0,0,14338603,178.9703826904297,0,84115456,88895488,88850432,79955528,1,0,0,0
