timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime,normal,cpu,mem,io
1529575120,0,0,6450005279073,137,79680208896,253952,66236416,0,0,0,23553519,283.5248718261719,0,1175060480,1241296896,1241255936,79550248,1,0,0,0
1529575140,0,0,6472463843932,637,79680208896,253952,66347008,0,0,0,23564607,314.9000549316406,0,1175060480,1241530368,1241489408,79570234,1,0,0,0
1529575160,0,0,6482736149910,692,79680208896,253952,66494464,0,0,0,23569303,316.7786865234375,0,1175060480,1241628672,1241587712,79590204,1,0,0,0
1529575180,0,0,6493276860549,696,79680208896,253952,66646016,0,0,0,23574691,355.8311767578125,0,1175060480,1241772032,1241731072,79610176,1,0,0,0
1529575200,0,0,6503366707753,693,79680208896,253952,66785280,0,0,0,23579185,308.91546630859375,0,1175060480,1241919488,1241878528,79630237,1,0,0,0
1529575220,0,0,6525434736043,715,79680208896,253952,67096576,0,0,0,23588740,309.80859375,0,1175060480,1242226688,1242185728,79650239,1,0,0,0
1529575240,0,0,6537232414302,718,79680208896,253952,67260416,0,0,0,23594656,360.0452880859375,0,1175060480,1242431488,1242390528,79670272,1,0,0,0
1529575260,0,0,6555255509620,709,79680208896,253952,67506176,0,0,0,23602831,322.0326232910156,0,1175060480,1242640384,1242599424,79690178,1,0,0,0
1529575280,0,0,6566529099104,712,79680208896,253952,67665920,0,0,0,23608225,340.7495422363281,0,1175060480,1242853376,1242812416,79710264,1,0,0,0
1529575300,0,0,6579320499633,724,79680208896,253952,67837952,0,0,0,23614304,344.0816345214844,0,1175060480,1242898432,1242857472,79730259,1,0,0,0
1529575320,0,0,6596860189453,726,79680208896,253952,68075520,0,0,0,23621912,315.2776184082031,0,1175060480,1243136000,1243095040,79750186,1,0,0,0
1529575340,0,0,6608631480936,730,79680208896,253952,68239360,0,0,0,23627139,324.42071533203125,0,1175060480,1243414528,1243373568,79770176,1,0,0,0
1529575360,0,0,6629421195387,707,79680208896,253952,68526080,0,0,0,23636960,334.39874267578125,0,1175060480,1243709440,1243668480,79790205,1,0,0,0
1529575380,0,0,6641205819497,720,79680208896,253952,68685824,0,0,0,23642355,329.9849548339844,0,1175060480,1243824128,1243783168,79810301,1,0,0,0
1529575400,0,0,6649524932892,717,79680208896,253952,68800512,0,0,0,23646195,331.314697265625,0,1175060480,1243860992,1243820032,79830234,1,0,0,0
1529575420,0,0,6663156503762,713,79680208896,253952,68993024,0,0,0,23652338,321.5113220214844,0,1175060480,1244180480,1244139520,79850161,1,0,0,0
1529575440,0,0,6676683934563,724,79680208896,253952,69173248,0,0,0,23659282,371.8436279296875,0,1175060480,1244360704,1244319744,79870272,1,0,0,0
1529575460,0,0,6691225747409,732,79680208896,253952,69369856,0,0,0,23665290,302.6597900390625,0,1175060480,1244430336,1244389376,79890256,1,0,0,0
1529575480,0,0,6703849294205,736,79680208896,253952,69537792,0,0,0,23670551,307.008544921875,0,1175060480,1244721152,1244680192,79910210,1,0,0,0
1529575500,0,0,6728556547169,725,79680208896,253952,69873664,0,0,0,23681676,326.8873291015625,0,1175060480,1245007872,1244966912,79930173,1,0,0,0
1529575520,0,0,6741590603229,727,79680208896,253952,70049792,0,0,0,23686737,282.6456298828125,0,1175060480,1245237248,1245196288,79950197,1,0,0,0
1529575540,0,0,6754496688012,712,79680208896,253952,70234112,0,0,0,23692880,339.0066833496094,0,1175060480,1245364224,1245323264,79970225,1,0,0,0
1529575560,0,0,6765735034498,725,79680208896,253952,70381568,0,0,0,23698113,337.9254150390625,0,1175060480,1245569024,1245528064,79990238,1,0,0,0
1529575580,0,0,6779589650658,725,79680208896,253952,70574080,0,0,0,23704800,350.1911315917969,0,1175060480,1245761536,1245720576,80010249,0,0,1,0
1529575600,0,0,6789795791762,675,79680208896,253952,70725632,0,0,0,23708881,270.17251586914057,0,1175060480,1245794304,1245753344,80030240,0,0,1,0
1529575620,0,0,6811956545144,740,79680208896,253952,71008256,0,0,0,23719042,339.60479736328125,0,1175060480,1246187520,1246146560,80050184,0,0,1,0
1529575640,0,0,6832420402329,711,79680208896,253952,71303168,0,0,0,23727728,302.0911865234375,0,1175060480,1246425088,1246384128,80070177,1,0,0,0
1529575660,0,0,6842455304254,753,79680208896,253952,71434240,0,0,0,23732207,336.2925109863281,0,1175060480,1246494720,1246453760,80090177,1,0,0,0
1529575680,0,0,6856560747236,763,79680208896,253952,71614464,0,0,0,23738390,334.6191101074219,0,1175060480,1246797824,1246756864,80110212,1,0,0,0
1529575700,0,0,6871522824461,766,79680208896,253952,71806976,0,0,0,23745057,341.3271789550781,0,1175060480,1246867456,1246826496,80130215,1,0,0,0
1529575720,0,0,6881211491909,748,79680208896,253952,71933952,0,0,0,23748963,301.80230712890625,0,1175089152,1247125504,1247084544,80150205,1,0,0,0
1529575740,0,0,6895343184859,772,79680208896,253952,72118272,0,0,0,23754912,325.3122253417969,0,1175060480,1247293440,1247252480,80170245,1,0,0,0
1529575760,0,0,6922965662234,752,79680208896,253952,72478720,0,0,0,23766031,302.72625732421875,0,1175060480,1247604736,1247563776,80190211,1,0,0,0
1529575780,0,0,6937624143437,770,79680208896,253952,72658944,0,0,0,23772801,355.6455383300781,0,1175060480,1247719424,1247678464,80210234,1,0,0,0
1529575800,0,0,6947561086496,766,79680208896,253952,72790016,0,0,0,23776645,296.3714294433594,0,1175060480,1247977472,1247936512,80230209,1,0,0,0
