timestamp,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime
1529506920,0,0,559320898019,93,79680208896,282624,203952128,0,0,0,1510999,74.0540542602539,0,55570432,259645440,259588096,11270295,0,0,2070789527265,329,79680208896,253952,27426816,0,0,0,3738999,291.1524353027344,0,1239105536,1266655232,1266614272,11350273,0,0,37300023642,3,79680208896,430080,2899968,0,0,0,2077056,192.6160430908203,0,83996672,86896640,86851584,11355500
1529506940,0,0,562028814398,94,79680208896,282624,205025280,0,0,0,1514589,125.32769775390624,0,55660544,260808704,260751360,11290281,0,0,2075677658344,341,79680208896,253952,27500544,0,0,0,3743447,310.9786071777344,0,1239105536,1266733056,1266692096,11370310,0,0,37367541288,2,79680208896,430080,2899968,0,0,0,2080752,146.11477661132812,0,83996672,86896640,86851584,11375500
1529506960,0,0,563414741507,95,79680208896,282624,205570048,0,0,0,1515901,90.7115478515625,0,55726080,261296128,261238784,11310283,0,0,2085381466688,347,79680208896,253952,27639808,0,0,0,3750911,267.43624877929693,0,1239105536,1266860032,1266819072,11390283,0,0,37427882493,3,79680208896,430080,2899968,0,0,0,2084416,183.8228759765625,0,83996672,86896640,86851584,11395513
1529506980,0,0,564970073215,99,79680208896,282624,206151680,0,0,0,1518209,147.79017639160156,0,55926784,262197248,262139904,11330382,0,0,2091329044437,347,79680208896,253952,27721728,0,0,0,3756404,320.9125671386719,0,1239105536,1266954240,1266913280,11410280,0,0,37481989505,3,79680208896,430080,2899968,0,0,0,2088062,249.0687561035156,0,83996672,86896640,86851584,11415530
1529507000,0,0,568080260338,97,79680208896,282624,207343616,0,0,0,1521343,98.25624084472656,0,56373248,263778304,263720960,11350368,0,0,2097245124330,349,79680208896,253952,27811840,0,0,0,3760974,269.64077758789057,0,1239105536,1267003392,1266962432,11430237,0,0,37549538650,2,79680208896,430080,2899968,0,0,0,2091479,140.76083374023438,0,83976192,87003136,86958080,11435483
1529507020,0,0,569832853609,94,79680208896,282624,208039936,0,0,0,1523654,124.27391052246094,0,56541184,264601600,264544256,11370292,0,0,2107938518971,346,79680208896,253952,27959296,0,0,0,3770693,314.59881591796875,0,1239105536,1267191808,1267150848,11450214,0,0,37617284063,2,79680208896,430080,2899968,0,0,0,2095167,145.07606506347656,0,83976192,86876160,86831104,11455524
1529507040,0,0,571304562068,94,79680208896,282624,208625664,0,0,0,1525988,149.39459228515625,0,56791040,265416704,265359360,11390304,0,0,2111925154151,338,79680208896,253952,28020736,0,0,0,3773483,236.7334442138672,0,1239105536,1267126272,1267085312,11470352,0,0,37668761861,4,79680208896,430080,2899968,0,0,0,2098807,317.5840148925781,0,83976192,86966272,86921216,11475485
1529507060,0,0,573494061068,97,79680208896,282624,209465344,0,0,0,1528626,117.11746978759766,0,57102336,266571776,266514432,11410287,0,0,2119630433692,357,79680208896,253952,28127232,0,0,0,3780013,302.8053894042969,0,1239105536,1267232768,1267191808,11490198,0,0,37739579898,2,79680208896,430080,2899968,0,0,0,2102486,140.02252197265622,0,83976192,86876160,86831104,11495524
1529507080,0,0,575332275677,97,79680208896,282624,210169856,0,0,0,1530703,110.62657165527344,0,57335808,267530240,267472896,11430350,0,0,2125778788014,343,79680208896,253952,28217344,0,0,0,3785937,331.2722473144531,0,1239105536,1267449856,1267408896,11510288,0,0,37772766168,2,79680208896,430080,2899968,0,0,0,2104329,150.56350708007812,0,83976192,86962176,86917120,11515488
1529507100,0,0,577002180097,94,79680208896,282624,210829312,0,0,0,1532705,113.17594146728516,0,57618432,268554240,268496896,11450290,0,0,2134445112555,347,79680208896,253952,28344320,0,0,0,3793377,297.99493408203125,0,1239105536,1267576832,1267535872,11530284,0,0,37857766275,3,79680208896,430080,2899968,0,0,0,2109806,226.69171142578125,0,83976192,86876160,86831104,11535523
1529507120,0,0,578184106224,94,79680208896,282624,211300352,0,0,0,1534646,155.31430053710938,0,57757696,269074432,269017088,11470285,0,0,2140069823514,345,79680208896,253952,28422144,0,0,0,3798262,300.04425048828125,0,1205682176,1234104320,1234063360,11550310,0,0,37904277082,2,79680208896,430080,2899968,0,0,0,2112542,170.60511779785156,0,83976192,86876160,86831104,11555527
