timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529506920,0,0,559320898019,93,79680208896,282624,203952128,0,0,0,1510999,74.0540542602539,0,55570432,259645440,259588096,11270295
1529506940,0,0,562028814398,94,79680208896,282624,205025280,0,0,0,1514589,125.32769775390625,0,55660544,260808704,260751360,11290281
1529506960,0,0,563414741507,95,79680208896,282624,205570048,0,0,0,1515901,90.7115478515625,0,55726080,261296128,261238784,11310283
1529506980,0,0,564970073215,99,79680208896,282624,206151680,0,0,0,1518209,147.79017639160156,0,55926784,262197248,262139904,11330382
1529507000,0,0,568080260338,97,79680208896,282624,207343616,0,0,0,1521343,98.25624084472656,0,56373248,263778304,263720960,11350368
1529507020,0,0,569832853609,94,79680208896,282624,208039936,0,0,0,1523654,124.27391052246094,0,56541184,264601600,264544256,11370292
1529507040,0,0,571304562068,94,79680208896,282624,208625664,0,0,0,1525988,149.39459228515625,0,56791040,265416704,265359360,11390304
1529507060,0,0,573494061068,97,79680208896,282624,209465344,0,0,0,1528626,117.11746978759766,0,57102336,266571776,266514432,11410287
1529507080,0,0,575332275677,97,79680208896,282624,210169856,0,0,0,1530703,110.62657165527344,0,57335808,267530240,267472896,11430350
1529507100,0,0,577002180097,94,79680208896,282624,210829312,0,0,0,1532705,113.17594146728516,0,57618432,268554240,268496896,11450290
1529507120,0,0,578184106224,94,79680208896,282624,211300352,0,0,0,1534646,155.31430053710938,0,57757696,269074432,269017088,11470285
1529507140,0,0,580029779176,96,79680208896,282624,212013056,0,0,0,1537312,139.25576782226562,0,58175488,270311424,270254080,11490328
1529507160,0,0,582819044937,97,79680208896,282624,213090304,0,0,0,1540635,115.63194274902344,0,58621952,271798272,271740928,11510271
1529507180,0,0,585327148061,95,79680208896,282624,214073344,0,0,0,1543659,114.83220672607422,0,58957824,273092608,273035264,11530401
1529507200,0,0,586406809954,102,79680208896,282624,214470656,0,0,0,1544965,123.90355682373047,0,59088896,273649664,273592320,11550330
1529507220,0,0,588217784345,95,79680208896,282624,215183360,0,0,0,1547297,122.40634155273438,0,59363328,274669568,274612224,11570371
1529507240,0,0,590943405245,94,79680208896,282624,216260608,0,0,0,1550971,127.71984100341797,0,59805696,276176896,276119552,11590303
1529507260,0,0,592104453017,105,79680208896,282624,216670208,0,0,0,1552023,95.7183609008789,0,59965440,276684800,276627456,11610362
1529507280,0,0,594794916563,101,79680208896,282624,217661440,0,0,0,1555719,139.38963317871094,0,60506112,278212608,278155264,11630362
1529507300,0,0,595959913127,95,79680208896,282624,218120192,0,0,0,1556768,85.7345199584961,0,60669952,278908928,278851584,11650334
1529507320,0,0,598792325438,94,79680208896,282624,219238400,0,0,0,1560445,122.82874298095703,0,61079552,280408064,280350720,11670263
1529507340,0,0,600951482321,95,79680208896,282624,220090368,0,0,0,1562824,104.98181915283203,0,61468672,281595904,281538560,11690358
1529507360,0,0,602177202545,96,79680208896,282624,220565504,0,0,0,1564515,132.92288208007812,0,61739008,282398720,282341376,11710311
1529507380,0,0,603750460809,96,79680208896,282624,221171712,0,0,0,1566507,122.52078247070312,0,61972480,283176960,283119616,11730363
1529507400,0,0,606554247207,95,79680208896,282624,222273536,0,0,0,1570180,124.74098205566406,0,62423040,284819456,284762112,11750272
1529507420,0,0,608589688727,97,79680208896,282624,223059968,0,0,0,1572818,125.98283386230469,0,62668800,285794304,285736960,11770334
1529507440,0,0,609632660923,97,79680208896,282624,223453184,0,0,0,1573856,97.52780151367188,0,62849024,286408704,286351360,11790358
1529507460,0,0,612232933545,94,79680208896,282624,224485376,0,0,0,1577796,143.52874755859375,0,63344640,287936512,287879168,11810364
1529507480,0,0,613887043073,96,79680208896,282624,225120256,0,0,0,1580412,152.94601440429688,0,63598592,288804864,288747520,11830278
1529507500,0,0,615338700794,101,79680208896,282624,225652736,0,0,0,1581767,95.04598999023438,0,63782912,289488896,289431552,11850314
1529507520,0,0,618334647469,97,79680208896,282624,226807808,0,0,0,1585126,108.85028076171875,0,64176128,291045376,290988032,11870330
1529507540,0,0,619516335750,94,79680208896,282624,227278848,0,0,0,1586805,134.00790405273438,0,64368640,291774464,291717120,11890358
1529507560,0,0,620768468659,96,79680208896,282624,227766272,0,0,0,1588809,153.79965209960938,0,64671744,292450304,292392960,11910367
1529507580,0,0,623316349031,94,79680208896,282624,228782080,0,0,0,1592107,121.75550079345703,0,65073152,293933056,293875712,11930406
1529507600,0,0,625023563473,97,79680208896,282624,229429248,0,0,0,1593802,97.279541015625,0,65261568,294748160,294690816,11950340
1529507620,0,0,626266105760,96,79680208896,282624,229908480,0,0,0,1595767,153.05126953125,0,65433600,295407616,295350272,11970276
1529507640,0,0,629480421255,97,79680208896,282624,231141376,0,0,0,1600122,132.39845275878906,0,66068480,297222144,297164800,11990386
