timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529506920,0,0,2070789527265,329,79680208896,253952,27426816,0,0,0,3738999,291.1524353027344,0,1239105536,1266655232,1266614272,11350273
1529506940,0,0,2075677658344,341,79680208896,253952,27500544,0,0,0,3743447,310.9786071777344,0,1239105536,1266733056,1266692096,11370310
1529506960,0,0,2085381466688,347,79680208896,253952,27639808,0,0,0,3750911,267.4362487792969,0,1239105536,1266860032,1266819072,11390283
1529506980,0,0,2091329044437,347,79680208896,253952,27721728,0,0,0,3756404,320.9125671386719,0,1239105536,1266954240,1266913280,11410280
1529507000,0,0,2097245124330,349,79680208896,253952,27811840,0,0,0,3760974,269.6407775878906,0,1239105536,1267003392,1266962432,11430237
1529507020,0,0,2107938518971,346,79680208896,253952,27959296,0,0,0,3770693,314.59881591796875,0,1239105536,1267191808,1267150848,11450214
1529507040,0,0,2111925154151,338,79680208896,253952,28020736,0,0,0,3773483,236.7334442138672,0,1239105536,1267126272,1267085312,11470352
1529507060,0,0,2119630433692,357,79680208896,253952,28127232,0,0,0,3780013,302.8053894042969,0,1239105536,1267232768,1267191808,11490198
1529507080,0,0,2125778788014,343,79680208896,253952,28217344,0,0,0,3785937,331.2722473144531,0,1239105536,1267449856,1267408896,11510288
1529507100,0,0,2134445112555,347,79680208896,253952,28344320,0,0,0,3793377,297.99493408203125,0,1239105536,1267576832,1267535872,11530284
1529507120,0,0,2140069823514,345,79680208896,253952,28422144,0,0,0,3798262,300.04425048828125,0,1205682176,1234104320,1234063360,11550310
1529507140,0,0,2145804329473,345,79680208896,253952,28508160,0,0,0,3803126,293.3143005371094,0,1205682176,1234317312,1234276352,11570223
1529507160,0,0,2152895415866,357,79680208896,253952,28606464,0,0,0,3809217,307.4751892089844,0,1191915520,1220648960,1220608000,11590277
1529507180,0,0,2163285360531,349,79680208896,253952,28753920,0,0,0,3818269,304.54400634765625,0,1191915520,1220669440,1220628480,11610232
1529507200,0,0,2169856757360,360,79680208896,253952,28848128,0,0,0,3823895,308.7558288574219,0,1191915520,1220890624,1220849664,11630324
1529507220,0,0,2178064123153,349,79680208896,253952,28962816,0,0,0,3830288,272.1391906738281,0,1191915520,1220878336,1220837376,11650253
1529507240,0,0,2184248488676,347,79680208896,253952,29052928,0,0,0,3836171,330.60186767578125,0,1191915520,1221054464,1221013504,11670329
1529507260,0,0,2190449690359,356,79680208896,253952,29143040,0,0,0,3842312,352.5838317871094,0,1191915520,1221058560,1221017600,11690260
1529507280,0,0,2194975189241,349,79680208896,253952,29204480,0,0,0,3846478,321.3234558105469,0,1191915520,1221177344,1221136384,11710261
1529507300,0,0,2204533448340,345,79680208896,253952,29343744,0,0,0,3854269,281.2246398925781,0,1191915520,1221386240,1221345280,11730270
1529507320,0,0,2210907433324,352,79680208896,253952,29433856,0,0,0,3858857,253.61856079101562,0,1191915520,1221476352,1221435392,11750315
1529507340,0,0,2217613125729,355,79680208896,253952,29528064,0,0,0,3864182,282.1549072265625,0,1191915520,1221443584,1221402624,11770306
1529507360,0,0,2226861132589,345,79680208896,253952,29663232,0,0,0,3873129,334.47552490234375,0,1191915520,1221578752,1221537792,11790307
1529507380,0,0,2231053678141,351,79680208896,253952,29720576,0,0,0,3876982,323.22528076171875,0,1191915520,1221763072,1221722112,11810273
1529507400,0,0,2237242452581,346,79680208896,253952,29810688,0,0,0,3881747,266.5196838378906,0,1191915520,1221849088,1221808128,11830267
1529507420,0,0,2244176596949,347,79680208896,253952,29908992,0,0,0,3887888,307.4789123535156,0,1190309888,1220345856,1220304896,11850249
1529507440,0,0,2249926066785,343,79680208896,253952,29995008,0,0,0,3892754,290.673828125,0,1190309888,1220431872,1220390912,11870315
1529507460,0,0,2261932450353,346,79680208896,253952,30167040,0,0,0,3903290,303.9762268066406,0,1190309888,1220603904,1220562944,11890210
1529507480,0,0,2267258627830,348,79680208896,253952,30244864,0,0,0,3908394,333.6654052734375,0,1190309888,1220677632,1220636672,11910342
1529507500,0,0,2273225629630,341,79680208896,253952,30330880,0,0,0,3913512,292.5552978515625,0,1190309888,1220640768,1220599808,11930294
1529507520,0,0,2279162909720,356,79680208896,253952,30412800,0,0,0,3918574,303.89752197265625,0,1190309888,1220722688,1220681728,11950240
1529507540,0,0,2288558542329,358,79680208896,253952,30543872,0,0,0,3926518,303.29986572265625,0,1190309888,1220853760,1220812800,11970276
