timestamp,bono_normal,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime,bono_normal,homestead_normal,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,homestead_normal,sprout_normal,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,sprout_normal,bono_cpu,bono_mem,bono_io,homestead_cpu,homestead_mem,homestead_io,sprout_cpu,sprout_mem,sprout_io,normal
1529575120,1,0,0,253246257372,4,79680208896,1396736,4718592,0,0,0,14274892,267.1767578125,0,84115456,88834048,88788992,79555514,1,1,0,0,1896502904508,114,79680208896,286720,643301376,0,0,0,10041920,93.0249481201172,0,112357376,755707904,755654656,79470334,1,1,0,0,6450005279073,137,79680208896,253952,66236416,0,0,0,23553519,283.5248718261719,0,1175060480,1241296896,1241255936,79550248,1,0,0,0,0,0,0,0,0,0,1
1529575140,1,0,0,253325222202,2,79680208896,1396736,4718592,0,0,0,14278590,136.37120056152344,0,84115456,88924160,88879104,79575440,1,1,0,0,1899303261877,170,79680208896,286720,644521984,0,0,0,10044279,143.84756469726562,0,112701440,757309440,757256192,79490336,1,1,0,0,6472463843932,637,79680208896,253952,66347008,0,0,0,23564607,314.9000549316406,0,1175060480,1241530368,1241489408,79570234,1,0,0,0,0,0,0,0,0,0,1
1529575160,0,0,0,253359693424,3,79680208896,1396736,4718592,0,0,0,14280433,165.4820556640625,0,84115456,88924160,88879104,79595579,0,1,0,0,1905517019677,176,79680208896,286720,647155712,0,0,0,10048413,117.4558334350586,0,113774592,760983552,760930304,79510347,1,1,0,0,6482736149910,692,79680208896,253952,66494464,0,0,0,23569303,316.7786865234375,0,1175060480,1241628672,1241587712,79590204,1,0,0,1,0,0,0,0,0,0,0
1529575180,0,0,0,254074826287,29,79680208896,1396736,4718592,0,0,0,14285090,190.0725250244141,0,84115456,88834048,88788992,79615591,0,1,0,0,1908180794253,190,79680208896,286720,648200192,0,0,0,10050498,149.04495239257812,0,114237440,762523648,762470400,79530340,1,1,0,0,6493276860549,696,79680208896,253952,66646016,0,0,0,23574691,355.8311767578125,0,1175060480,1241772032,1241731072,79610176,1,0,0,1,0,0,0,0,0,0,0
1529575200,0,0,0,254920123653,35,79680208896,1396736,4718592,0,0,0,14287950,119.6954345703125,0,84115456,88834048,88788992,79635574,0,1,0,0,1911586869602,184,79680208896,286720,649576448,0,0,0,10052561,111.892822265625,0,114794496,764411904,764358656,79550373,1,1,0,0,6503366707753,693,79680208896,253952,66785280,0,0,0,23579185,308.91546630859375,0,1175060480,1241919488,1241878528,79630237,1,0,0,1,0,0,0,0,0,0,0
1529575220,0,0,0,255554732938,35,79680208896,1400832,4722688,0,0,0,14290780,157.31361389160156,0,84115456,88838144,88793088,79655562,0,1,0,0,1914366143460,180,79680208896,286720,650731520,0,0,0,10054346,115.84386444091795,0,115359744,766181376,766128128,79570421,1,1,0,0,6525434736043,715,79680208896,253952,67096576,0,0,0,23588740,309.80859375,0,1175060480,1242226688,1242185728,79650239,1,0,0,1,0,0,0,0,0,0,0
1529575240,0,0,0,256161977948,35,79680208896,1400832,4726784,0,0,0,14293333,147.17953491210938,0,84115456,88932352,88887296,79675550,0,1,0,0,1919813702821,176,79680208896,286720,653029376,0,0,0,10057808,112.4487075805664,0,116051968,769097728,769044480,79590400,1,1,0,0,6537232414302,718,79680208896,253952,67260416,0,0,0,23594656,360.0452880859375,0,1175060480,1242431488,1242390528,79670272,1,0,0,1,0,0,0,0,0,0,0
1529575260,0,0,0,256967957576,33,79680208896,1400832,4726784,0,0,0,14296465,130.76060485839844,0,84115456,88932352,88887296,79695622,0,1,0,0,1922366210871,180,79680208896,286720,654090240,0,0,0,10059551,123.14593505859376,0,116453376,770646016,770592768,79610393,1,1,0,0,6555255509620,709,79680208896,253952,67506176,0,0,0,23602831,322.0326232910156,0,1175060480,1242640384,1242599424,79690178,1,0,0,1,0,0,0,0,0,0,0
1529575280,0,0,0,257754384061,34,79680208896,1400832,4726784,0,0,0,14299583,135.0430908203125,0,84115456,88969216,88924160,79715605,0,1,0,0,1924638098247,183,79680208896,286720,655011840,0,0,0,10060976,115.0547103881836,0,116731904,771805184,771751936,79630359,1,1,0,0,6566529099104,712,79680208896,253952,67665920,0,0,0,23608225,340.7495422363281,0,1175060480,1242853376,1242812416,79710264,1,0,0,1,0,0,0,0,0,0,0
1529575300,0,0,0,258110751933,34,79680208896,1400832,4726784,0,0,0,14302097,243.35227966308602,0,84549632,89296896,89251840,79735576,0,1,0,0,1930382978533,178,79680208896,286720,657424384,0,0,0,10065082,127.24104309082031,0,117776384,775315456,775262208,79650324,1,1,0,0,6579320499633,724,79680208896,253952,67837952,0,0,0,23614304,344.0816345214844,0,1175060480,1242898432,1242857472,79730259,1,0,0,1,0,0,0,0,0,0,0
