clock,bono_net.if.in[ens160],bono_net.if.out[ens160],"bono_proc.num[,,run]",bono_proc.num[],bono_system.cpu.intr,"bono_system.cpu.load[percpu,avg1]","bono_system.cpu.load[percpu,avg15]","bono_system.cpu.load[percpu,avg5]",bono_system.cpu.switches,"bono_system.cpu.util[,idle]","bono_system.cpu.util[,interrupt]","bono_system.cpu.util[,iowait]","bono_system.cpu.util[,nice]","bono_system.cpu.util[,softirq]","bono_system.cpu.util[,steal]","bono_system.cpu.util[,system]","bono_system.cpu.util[,user]","bono_system.swap.size[,free]","bono_system.swap.size[,pfree]","bono_system.swap.size[,total]","bono_vfs.fs.inode[/,pfree]","bono_vfs.fs.inode[/boot,pfree]","bono_vfs.fs.inode[/var/lib/docker/aufs,pfree]","bono_vfs.fs.inode[/var/lib/kubelet,pfree]","bono_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/,pfree]","bono_vfs.fs.size[/,total]","bono_vfs.fs.size[/,used]","bono_vfs.fs.size[/boot,free]","bono_vfs.fs.size[/boot,pfree]","bono_vfs.fs.size[/boot,total]","bono_vfs.fs.size[/boot,used]","bono_vfs.fs.size[/var/lib/docker/aufs,pfree]","bono_vfs.fs.size[/var/lib/docker/aufs,total]","bono_vfs.fs.size[/var/lib/docker/aufs,used]","bono_vfs.fs.size[/var/lib/kubelet,free]","bono_vfs.fs.size[/var/lib/kubelet,pfree]","bono_vfs.fs.size[/var/lib/kubelet,total]","bono_vfs.fs.size[/var/lib/kubelet,used]","bono_vfs.fs.size[/var/lib/rancher/volumes,free]","bono_vfs.fs.size[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/var/lib/rancher/volumes,total]","bono_vfs.fs.size[/var/lib/rancher/volumes,used]",bono_vm.memory.size[available],bono_vm.memory.size[total],homestead_net.if.in[ens160],homestead_net.if.out[ens160],"homestead_proc.num[,,run]",homestead_proc.num[],homestead_system.cpu.intr,"homestead_system.cpu.load[percpu,avg1]","homestead_system.cpu.load[percpu,avg15]","homestead_system.cpu.load[percpu,avg5]",homestead_system.cpu.switches,"homestead_system.cpu.util[,idle]","homestead_system.cpu.util[,interrupt]","homestead_system.cpu.util[,iowait]","homestead_system.cpu.util[,nice]","homestead_system.cpu.util[,softirq]","homestead_system.cpu.util[,steal]","homestead_system.cpu.util[,system]","homestead_system.cpu.util[,user]","homestead_system.swap.size[,free]","homestead_system.swap.size[,pfree]","homestead_system.swap.size[,total]","homestead_vfs.fs.inode[/,pfree]","homestead_vfs.fs.inode[/boot,pfree]","homestead_vfs.fs.inode[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.inode[/var/lib/kubelet,pfree]","homestead_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/,pfree]","homestead_vfs.fs.size[/,total]","homestead_vfs.fs.size[/,used]","homestead_vfs.fs.size[/boot,free]","homestead_vfs.fs.size[/boot,pfree]","homestead_vfs.fs.size[/boot,total]","homestead_vfs.fs.size[/boot,used]","homestead_vfs.fs.size[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.size[/var/lib/docker/aufs,total]","homestead_vfs.fs.size[/var/lib/docker/aufs,used]","homestead_vfs.fs.size[/var/lib/kubelet,free]","homestead_vfs.fs.size[/var/lib/kubelet,pfree]","homestead_vfs.fs.size[/var/lib/kubelet,total]","homestead_vfs.fs.size[/var/lib/kubelet,used]","homestead_vfs.fs.size[/var/lib/rancher/volumes,free]","homestead_vfs.fs.size[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/var/lib/rancher/volumes,total]","homestead_vfs.fs.size[/var/lib/rancher/volumes,used]",homestead_vm.memory.size[available],homestead_vm.memory.size[total],sprout_net.if.in[ens160],sprout_net.if.out[ens160],"sprout_proc.num[,,run]",sprout_proc.num[],sprout_system.cpu.intr,"sprout_system.cpu.load[percpu,avg1]","sprout_system.cpu.load[percpu,avg15]","sprout_system.cpu.load[percpu,avg5]",sprout_system.cpu.switches,"sprout_system.cpu.util[,idle]","sprout_system.cpu.util[,interrupt]","sprout_system.cpu.util[,iowait]","sprout_system.cpu.util[,nice]","sprout_system.cpu.util[,softirq]","sprout_system.cpu.util[,steal]","sprout_system.cpu.util[,system]","sprout_system.cpu.util[,user]","sprout_system.swap.size[,free]","sprout_system.swap.size[,pfree]","sprout_system.swap.size[,total]","sprout_vfs.fs.inode[/,pfree]","sprout_vfs.fs.inode[/boot,pfree]","sprout_vfs.fs.inode[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.inode[/var/lib/kubelet,pfree]","sprout_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/,pfree]","sprout_vfs.fs.size[/,total]","sprout_vfs.fs.size[/,used]","sprout_vfs.fs.size[/boot,free]","sprout_vfs.fs.size[/boot,pfree]","sprout_vfs.fs.size[/boot,total]","sprout_vfs.fs.size[/boot,used]","sprout_vfs.fs.size[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.size[/var/lib/docker/aufs,total]","sprout_vfs.fs.size[/var/lib/docker/aufs,used]","sprout_vfs.fs.size[/var/lib/kubelet,free]","sprout_vfs.fs.size[/var/lib/kubelet,pfree]","sprout_vfs.fs.size[/var/lib/kubelet,total]","sprout_vfs.fs.size[/var/lib/kubelet,used]","sprout_vfs.fs.size[/var/lib/rancher/volumes,free]","sprout_vfs.fs.size[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/var/lib/rancher/volumes,total]","sprout_vfs.fs.size[/var/lib/rancher/volumes,used]",sprout_vm.memory.size[available],sprout_vm.memory.size[total],sla level,successful rate
1529506882,87864,47368,2,201,710,0.02,0.0,0.03,1627,96.5841,0.0,0.3851,0.0,0.1172,0.0,1.0214,1.9253,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1513,79680208896,7446495232,408983552,87.2071,494512128,59996160,90.1513,79680208896,7446503424,68162514944,90.1513,79680208896,7446495232,68162514944,90.1513,79680208896,7446495232,7801675776,8371621888,3316816,3638136,2,208,2560,0.02,0.03,0.03,4827,95.3022,0.0,0.253,0.0,0.5223,0.0,1.483,2.5632,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8476,79680208896,6920032256,408983552,87.2071,494512128,59996160,90.8475,79680208896,6920105984,68688822272,90.8474,79680208896,6920187904,68688867328,90.8475,79680208896,6920142848,7833714688,8371621888,6687504,8545504,3,203,4492,0.22,0.22,0.08,5746,92.8547,0.0,0.3861,0.0,0.972,0.0,2.1469,4.1296,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9051,79680208896,6876536832,408983552,87.2071,494512128,59996160,90.9051,79680208896,6876532736,68732477440,90.9051,79680208896,6876532736,68732477440,90.9051,79680208896,6876532736,6563106816,8371621888,0,100.00%
1529506887,59384,517880,4,201,626,0.02,0.0,0.03,1636,96.5182,0.0,0.4017,0.0,0.1172,0.0,1.1046,1.9083,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1513,79680208896,7446511616,408983552,87.2071,494512128,59996160,90.1513,79680208896,7446511616,68162506752,90.1513,79680208896,7446503424,68162506752,90.1513,79680208896,7446503424,7801651200,8371621888,2571632,2235856,5,208,2028,0.02,0.03,0.03,4110,94.3349,0.0,0.2531,0.0,0.8425,0.0,1.6869,3.2062,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8473,79680208896,6920232960,408983552,87.2071,494512128,59996160,90.8472,79680208896,6920306688,68688605184,90.8471,79680208896,6920404992,68688642048,90.8472,79680208896,6920368128,7833989120,8371621888,7833664,11065616,3,203,4335,0.2,0.22,0.08,6143,90.1849,0.0,0.3699,0.0,1.7137,0.0,2.5214,6.2878,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9051,79680208896,6876553216,408983552,87.2071,494512128,59996160,90.9051,79680208896,6876545024,68732456960,90.9051,79680208896,6876553216,68732465152,90.9051,79680208896,6876545024,6562508800,8371621888,0,100.00%
1529506892,103048,40576,2,201,719,0.02,0.0,0.03,1708,96.434,0.0,0.4856,0.0,0.1005,0.0,1.1385,1.8419,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1513,79680208896,7446519808,408983552,87.2071,494512128,59996160,90.1513,79680208896,7446519808,68162490368,90.1513,79680208896,7446519808,68162498560,90.1513,79680208896,7446511616,7801659392,8371621888,2637424,2680984,2,208,2057,0.02,0.03,0.03,3960,93.2309,0.0,0.2874,0.0,1.0802,0.0,1.8594,3.668,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8471,79680208896,6920441856,408983552,87.2071,494512128,59996160,90.847,79680208896,6920519680,68688404480,90.8469,79680208896,6920601600,68688445440,90.8469,79680208896,6920564736,7833423872,8371621888,8513624,11337432,2,203,4090,0.19,0.22,0.08,6312,86.5624,0.0,0.3698,0.0,2.7254,0.0,2.7572,8.2871,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9051,79680208896,6876565504,408983552,87.2071,494512128,59996160,90.9051,79680208896,6876565504,68732444672,90.9051,79680208896,6876565504,68732444672,90.9051,79680208896,6876565504,6578573312,8371621888,0,100.00%
1529506897,52144,66456,2,201,587,0.01,0.0,0.03,1548,96.4184,0.0,0.4854,0.0,0.1172,0.0,1.1383,1.8413,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1513,79680208896,7446528000,408983552,87.2071,494512128,59996160,90.1513,79680208896,7446536192,68162482176,90.1513,79680208896,7446528000,68162490368,90.1513,79680208896,7446519808,7801675776,8371621888,2582696,2207872,3,208,2016,0.1,0.03,0.03,4215,92.3103,0.0,0.2874,0.0,1.3016,0.0,2.0619,4.1927,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8468,79680208896,6920642560,408983552,87.2071,494512128,59996160,90.8467,79680208896,6920724480,68688207872,90.8466,79680208896,6920802304,68688244736,90.8466,79680208896,6920765440,7833489408,8371621888,8598592,11513536,2,204,4165,0.17,0.22,0.08,6457,83.2941,0.0,0.4031,0.0,3.6477,0.0,2.9906,10.4132,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9051,79680208896,6876581888,408983552,87.2071,494512128,59996160,90.9051,79680208896,6876573696,68732428288,90.9051,79680208896,6876581888,68732436480,90.9051,79680208896,6876573696,6577938432,8371621888,0,100.00%
1529506902,97336,46520,4,201,678,0.01,0.0,0.03,1851,96.4346,0.0,0.452,0.0,0.1172,0.0,1.1219,1.8413,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1513,79680208896,7446536192,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446544384,68162473984,90.1513,79680208896,7446536192,68162473984,90.1513,79680208896,7446536192,7801815040,8371621888,2617896,2237560,2,208,2022,0.09,0.04,0.05,3959,91.4537,0.0,0.2709,0.0,1.5736,0.0,2.2843,4.5886,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8465,79680208896,6920847360,408983552,87.2071,494512128,59996160,90.8464,79680208896,6920925184,68688003072,90.8463,79680208896,6921007104,68688048128,90.8464,79680208896,6920962048,7833559040,8371621888,8767112,11628280,2,204,4113,0.16,0.22,0.08,6485,80.1681,0.0,0.3696,0.0168,4.4683,0.0,3.395,12.332,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9051,79680208896,6876594176,408983552,87.2071,494512128,59996160,90.9051,79680208896,6876590080,68732416000,90.9051,79680208896,6876594176,68732420096,90.9051,79680208896,6876590080,6577573888,8371621888,0,100.00%
1529506907,53328,501008,2,201,568,0.01,0.0,0.03,1291,96.4011,0.0,0.4519,0.0,0.1339,0.0,1.1554,1.841,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1512,79680208896,7446552576,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446552576,68162457600,90.1512,79680208896,7446552576,68162465792,90.1512,79680208896,7446544384,7801696256,8371621888,2582264,2210224,2,208,2002,0.16,0.04,0.05,4160,90.4536,0.0,0.3049,0.0,1.7779,0.0,2.4386,5.132999999999999,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8463,79680208896,6921048064,408983552,87.2071,494512128,59996160,90.8462,79680208896,6921129984,68687798272,90.846,79680208896,6921211904,68687839232,90.8461,79680208896,6921170944,7833382912,8371621888,10253816,12768792,2,204,4339,0.14,0.21,0.07,6750,77.1026,0.0,0.3525,0.0168,5.3224,0.0,3.6602,14.233,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.905,79680208896,6876647424,408983552,87.2071,494512128,59996160,90.905,79680208896,6876614656,68732370944,90.905,79680208896,6876639232,68732387328,90.905,79680208896,6876622848,6581620736,8371621888,0,100.00%
1529506912,98984,71256,2,201,693,0.01,0.0,0.03,1917,96.3688,0.0,0.4519,0.0,0.1339,0.0,1.2048,1.8075,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1512,79680208896,7446560768,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446560768,68162449408,90.1512,79680208896,7446560768,68162449408,90.1512,79680208896,7446560768,7804751872,8371621888,2631392,2663464,2,208,2120,0.15,0.04,0.06,4123,89.4594,0.0,0.3052,0.0,2.0678,0.0,2.5776,5.6469,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.846,79680208896,6921248768,408983552,87.2071,494512128,59996160,90.8459,79680208896,6921330688,68687634432,90.8458,79680208896,6921375744,68687634432,90.8458,79680208896,6921375744,7833321472,8371621888,10504600,12463784,2,204,4538,0.21,0.21,0.09,6592,73.7452,0.0,0.3693,0.0168,6.3769,0.0,3.9792,16.1155,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.905,79680208896,6876676096,408983552,87.2071,494512128,59996160,90.905,79680208896,6876667904,68732334080,90.905,79680208896,6876676096,68732338176,90.905,79680208896,6876672000,6581084160,8371621888,0,100.00%
1529506917,62464,53616,2,201,586,0.01,0.0,0.03,1286,96.3849,0.0,0.4349,0.0,0.1339,0.0,1.2216,1.8903,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1512,79680208896,7446577152,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446585344,68162449408,90.1512,79680208896,7446560768,68162449408,90.1512,79680208896,7446560768,7804641280,8371621888,2577248,2239448,2,208,1948,0.14,0.04,0.06,4099,88.8172,0.0,0.3056,0.0,2.2731,0.0,2.6642,6.1110000000000015,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8458,79680208896,6921412608,408983552,87.2071,494512128,59996160,90.8457,79680208896,6921498624,68687425536,90.8456,79680208896,6921580544,68687474688,90.8456,79680208896,6921535488,7833485312,8371621888,10594320,12628840,5,204,4619,0.21,0.22,0.1,6768,71.2007,0.0,0.319,0.0168,7.1585,0.0,4.2639,17.6263,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9049,79680208896,6876717056,408983552,87.2071,494512128,59996160,90.9049,79680208896,6876688384,68732305408,90.9049,79680208896,6876704768,68732317696,90.9049,79680208896,6876692480,6580592640,8371621888,0,100.00%
1529506922,95968,46472,2,201,687,0.01,0.0,0.03,1573,96.3192,0.0,0.4181,0.0,0.1338,0.0,1.2042,1.9234,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1512,79680208896,7446585344,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446585344,68162424832,90.1512,79680208896,7446585344,68162424832,90.1512,79680208896,7446585344,7804743680,8371621888,2631488,2218384,3,207,1986,0.13,0.04,0.06,3891,88.0054,0.0,0.3227,0.017,2.5306,0.0,2.7693,6.5398,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8455,79680208896,6921621504,408983552,87.2071,494512128,59996160,90.8454,79680208896,6921695232,68687228928,90.8453,79680208896,6921781248,68687273984,90.8454,79680208896,6921736192,7835316224,8371621888,10738616,12364192,2,204,4606,0.33,0.22,0.12,6804,67.9093,0.0,0.3693,0.0168,8.1893,0.0,4.6149,19.6542,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9048,79680208896,6876762112,408983552,87.2071,494512128,59996160,90.9049,79680208896,6876733440,68732260352,90.9049,79680208896,6876749824,68732272640,90.9049,79680208896,6876737536,6576500736,8371621888,0,100.00%
1529506927,52784,521336,2,201,641,0.01,0.0,0.02,1792,96.3205,0.0,0.418,0.0,0.1505,0.0,1.204,1.9228,4171988992,97.1368,4294963200,95.472,99.7583,95.472,95.472,95.472,90.1512,79680208896,7446601728,408983552,87.2071,494512128,59996160,90.1512,79680208896,7446601728,68162416640,90.1512,79680208896,7446593536,68162424832,90.1512,79680208896,7446585344,7804665856,8371621888,2578448,2207400,2,207,2013,0.12,0.04,0.06,4206,87.105,0.0,0.3229,0.017,2.8207,0.0,2.8552,7.07,4204625920,97.8967,4294963200,95.561,99.7583,95.561,95.561,95.561,90.8452,79680208896,6921818112,408983552,87.2071,494512128,59996160,90.8451,79680208896,6921895936,68687032320,90.845,79680208896,6921977856,68687069184,90.8451,79680208896,6921940992,7835549696,8371621888,10613472,12804968,2,204,4611,0.39,0.23,0.13,6698,64.6456,0.0,0.3694,0.0168,9.1321,0.0,4.9379,21.5617,4294963200,100.0,4294963200,95.5595,99.7583,95.5595,95.5595,95.5595,90.9048,79680208896,6876794880,408983552,87.2071,494512128,59996160,90.9048,79680208896,6876770304,68732223488,90.9048,79680208896,6876786688,68732235776,90.9048,79680208896,6876774400,6579302400,8371621888,0,100.00%
